Date,daily_return,equity,peak,drawdown,trading_cost
2024-10-13,-0.000533887263484234,11760.832173311956,12199.30086210628,-0.03594211617128851,0.0
2024-10-14,0.011586556523797252,11897.099720054926,12199.30086210628,-0.024772005008094955,7.500000000000002e-05
2024-10-15,-0.004711029454673809,11841.052132848556,12199.30086210628,-0.02936633281752432,0.0002107142857142855
2024-10-16,0.006419794232842258,11917.069251041801,12199.30086210628,-0.023135064398743688,0.0002107142857142855
2024-10-17,0.003381810109026312,11957.370516304942,12199.30086210628,-0.019831492684374008,0.0
2024-10-18,0.004054187742044907,12005.847941279233,12199.30086210628,-0.01585770553687671,0.0002107142857142855
2024-10-19,-9.281520258039927e-05,12004.733616070413,12199.30086210628,-0.015949048903305285,0.00014285714285714265
2024-10-20,0.0007787962760825403,12014.082857905973,12199.30086210628,-0.015182673687115567,0.00014285714285714265
2024-10-21,0.0011802680187901488,12028.262695678253,12199.30086210628,-0.014020325292518065,0.0002107142857142855
2024-10-22,0.0004896339465248321,12034.152141411776,12199.30086210628,-0.01353755617319774,0.0002107142857142855
2024-10-23,-0.010162121729258773,11911.859622442329,12199.30086210628,-0.023562107608707916,0.0
2024-10-24,0.002561079183164072,11942.36683815414,12199.30086210628,-0.0210613728488519,0.0004664285714285713
2024-10-25,0.0006833878744373428,11950.528106843416,12199.30086210628,-0.020392378061238503,0.00042597345132743355
2024-10-26,0.0011651084259452597,11964.451767835195,12199.30086210628,-0.019251028966797423,0.00013274336283185815
2024-10-27,0.0010409622057157655,11976.90630993762,12199.30086210628,-0.01823010635465727,0.0002477777777777779
2024-10-28,-0.002951559583380164,11941.55575733928,12199.30086210628,-0.02112785869292011,0.00036823008849557506
2024-10-29,0.0051856787044068,12003.480828727601,12199.30086210628,-0.016051742275406844,0.00026548672566371705
2024-10-30,-0.0008753283473574894,11992.973841691255,12199.30086210628,-0.016913020077726104,0.0005481553398058251
2024-10-31,-0.02325746239434562,11714.047703571749,12199.30086210628,-0.03977712854363935,0.00075
2024-11-01,-0.0025243904175499933,11684.476873798129,12199.30086210628,-0.04220110595905613,7.500000000000002e-05
2024-11-02,-0.0002375718763382162,11681.70097070319,12199.30086210628,-0.042428652039467996,0.0
2024-11-03,-0.0010373587548810459,11669.582855929328,12199.30086210628,-0.04342199706069827,0.0
2024-11-04,-0.003858029528645189,11624.56126068418,12199.30086210628,-0.0471125032424905,0.00012
2024-11-05,0.0008118594701405782,11633.998770829896,12199.30086210628,-0.04633889250426937,0.00012
2024-11-06,0.018736114055522342,11851.974698721975,12199.30086210628,-0.028470989223913334,0.001275
2024-11-07,0.00993490262412276,11969.722913257343,12199.30086210628,-0.01881894310534271,0.00015000000000000001
2024-11-08,0.0109744357032142,12101.083867754176,12199.30086210628,-0.008051034683240532,0.00015000000000000001
2024-11-09,0.003160787561988209,12139.33282312995,12199.30086210628,-0.004915694731540299,0.0
2024-11-10,0.005797979093968718,12209.716421053183,12209.716421053183,0.0,0.0
2024-11-11,0.02071928921864931,12462.693066858677,12462.693066858677,0.0,0.00015000000000000001
2024-11-12,-0.0023655659747281324,12433.211744186234,12462.693066858677,-0.0023655659747283675,0.0
2024-11-13,0.0027015979914953242,12466.801284062163,12466.801284062163,0.0,0.0
2024-11-14,-0.01005964513188569,12341.389687214762,12466.801284062163,-0.01005964513188562,0.00030999056195926553
2024-11-15,-0.003503325958385985,12298.153776360985,12466.801284062163,-0.013527728874348943,3.6619128437131306e-07
